Region/Country/Area Code,Region/Country/Area,Year,Series,Value
30,Eastern Asia,2005,Forest cover (thousand hectares),"240,730"
30,Eastern Asia,2005,Arable land (% of total land area),11.3
30,Eastern Asia,2005,Permanent crops (% of total land area),1.2
30,Eastern Asia,2005,Forest cover (% of total land area),20.8
30,Eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),22.26
30,Eastern Asia,2010,Land area (thousand hectares),"1,156,037"
30,Eastern Asia,2010,Arable land (thousand hectares),"130,795"
30,Eastern Asia,2010,Permanent crops (thousand hectares),"15,468"
30,Eastern Asia,2010,Forest cover (thousand hectares),"252,390"
30,Eastern Asia,2010,Arable land (% of total land area),11.3
30,Eastern Asia,2010,Permanent crops (% of total land area),1.3
30,Eastern Asia,2010,Forest cover (% of total land area),21.8
30,Eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.27
30,Eastern Asia,2018,Land area (thousand hectares),"1,156,439"
30,Eastern Asia,2018,Arable land (thousand hectares),"128,682"
30,Eastern Asia,2018,Permanent crops (thousand hectares),"16,941"
30,Eastern Asia,2018,Forest cover (thousand hectares),"267,709"
30,Eastern Asia,2018,Arable land (% of total land area),11.1
30,Eastern Asia,2018,Permanent crops (% of total land area),1.5
30,Eastern Asia,2018,Forest cover (% of total land area),23.1
30,Eastern Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),26.39
30,Eastern Asia,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),26.58
35,South-eastern Asia,2005,Land area (thousand hectares),"434,076"
35,South-eastern Asia,2005,Arable land (thousand hectares),"65,540"
35,South-eastern Asia,2005,Permanent crops (thousand hectares),"36,521"
35,South-eastern Asia,2005,Forest cover (thousand hectares),"221,356"
35,South-eastern Asia,2005,Arable land (% of total land area),15.1
35,South-eastern Asia,2005,Permanent crops (% of total land area),8.4
35,South-eastern Asia,2005,Forest cover (% of total land area),51
35,South-eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),26.77
35,South-eastern Asia,2010,Land area (thousand hectares),"434,067"
35,South-eastern Asia,2010,Arable land (thousand hectares),"68,117"
35,South-eastern Asia,2010,Permanent crops (thousand hectares),"42,500"
35,South-eastern Asia,2010,Forest cover (thousand hectares),"219,211"
35,South-eastern Asia,2010,Arable land (% of total land area),15.7
35,South-eastern Asia,2010,Permanent crops (% of total land area),9.8
35,South-eastern Asia,2010,Forest cover (% of total land area),50.5
35,South-eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.56
35,South-eastern Asia,2018,Land area (thousand hectares),"440,616"
35,South-eastern Asia,2018,Arable land (thousand hectares),"73,216"
35,South-eastern Asia,2018,Permanent crops (thousand hectares),"48,764"
35,South-eastern Asia,2018,Forest cover (thousand hectares),"209,601"
35,South-eastern Asia,2018,Arable land (% of total land area),16.6
35,South-eastern Asia,2018,Permanent crops (% of total land area),11.1
35,South-eastern Asia,2018,Forest cover (% of total land area),47.6
35,South-eastern Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),36.47
35,South-eastern Asia,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),36.56
34,Southern Asia,2005,Land area (thousand hectares),"640,034"
34,Southern Asia,2005,Arable land (thousand hectares),"225,413"
34,Southern Asia,2005,Permanent crops (thousand hectares),"14,631"
34,Southern Asia,2005,Forest cover (thousand hectares),"96,630"
34,Southern Asia,2005,Arable land (% of total land area),35.2
34,Southern Asia,2005,Permanent crops (% of total land area),2.3
34,Southern Asia,2005,Forest cover (% of total land area),15.1
34,Southern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.31
34,Southern Asia,2010,Land area (thousand hectares),"640,034"
34,Southern Asia,2010,Arable land (thousand hectares),"220,858"
34,Southern Asia,2010,Permanent crops (thousand hectares),"16,865"
34,Southern Asia,2010,Forest cover (thousand hectares),"98,150"
34,Southern Asia,2010,Arable land (% of total land area),34.5
34,Southern Asia,2010,Permanent crops (% of total land area),2.6
34,Southern Asia,2010,Forest cover (% of total land area),15.3
34,Southern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.26
34,Southern Asia,2018,Land area (thousand hectares),"639,951"
34,Southern Asia,2018,Arable land (thousand hectares),"220,669"
34,Southern Asia,2018,Permanent crops (thousand hectares),"17,850"
34,Southern Asia,2018,Forest cover (thousand hectares),"100,058"
34,Southern Asia,2018,Arable land (% of total land area),34.5
34,Southern Asia,2018,Permanent crops (% of total land area),2.8
34,Southern Asia,2018,Forest cover (% of total land area),15.6
34,Southern Asia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),27.57
34,Southern Asia,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),27.57
145,Western Asia,2005,Land area (thousand hectares),"479,491"
145,Western Asia,2005,Arable land (thousand hectares),"42,240"
145,Western Asia,2005,Permanent crops (thousand hectares),"5,377"
145,Western Asia,2005,Forest cover (thousand hectares),"28,451"
145,Western Asia,2005,Arable land (% of total land area),8.8
145,Western Asia,2005,Permanent crops (% of total land area),1.1
145,Western Asia,2005,Forest cover (% of total land area),5.9
145,Western Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),9.79
145,Western Asia,2010,Land area (thousand hectares),"479,248"
145,Western Asia,2010,Arable land (thousand hectares),"38,091"
145,Western Asia,2010,Permanent crops (thousand hectares),"5,623"
145,Western Asia,2010,Forest cover (thousand hectares),"29,010"
145,Western Asia,2010,Arable land (% of total land area),7.9
145,Western Asia,2010,Permanent crops (% of total land area),1.2
145,Western Asia,2010,Forest cover (% of total land area),6.1
145,Western Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.77
145,Western Asia,2018,Land area (thousand hectares),"479,218"
145,Western Asia,2018,Arable land (thousand hectares),"37,824"
145,Western Asia,2018,Permanent crops (thousand hectares),"6,212"
